age_CE,CalibT,ReconT,95%+,95%-
1855,,0.2429,1.1429,-0.6571
1854,,-0.2441,0.6559,-1.1441
1853,,-0.2361,0.6639,-1.1361
1852,,-0.5443,0.3557,-1.4443
1851,,-0.4784,0.4216,-1.3784
1850,,-0.3464,0.5536,-1.2464
1849,,-0.158,0.742,-1.058
1848,,0.6536,1.5536,-0.2464
1847,,-0.0892,0.8108,-0.9892
1846,,-0.1841,0.7159,-1.0841
1845,,-0.1426,0.7574,-1.0426
1844,,0.0709,0.9709,-0.8291
1843,,-0.3287,0.5713,-1.2287
1842,,-0.926,-0.026,-1.826
1841,,-0.1867,0.7133,-1.0867
1840,,-1.1132,-0.2132,-2.0132
1839,,-0.7792,0.1208,-1.6792
1838,,-0.1822,0.7178,-1.0822
1837,,0.1639,1.0639,-0.7361
1836,,-0.1621,0.7379,-1.0621
1835,,-0.3581,0.5419,-1.2581
1834,,0.3407,1.2407,-0.5593
1833,,-0.089,0.811,-0.989
1832,,0.7045,1.6045,-0.1955
1831,,0.3149,1.2149,-0.5851
1830,,0.1847,1.0847,-0.7153
1829,,0.5851,1.4851,-0.3149
1828,,0.3257,1.2257,-0.5743
1827,,0.2575,1.1575,-0.6425
1826,,0.0302,0.9302,-0.8698
1825,,-0.11,0.79,-1.01
1824,,0.0027,0.9027,-0.8973
1823,,-0.264,0.636,-1.164
1822,,-0.7847,0.1153,-1.6847
1821,,-0.4606,0.4394,-1.3606
1820,,-0.3775,0.5225,-1.2775
1819,,0.5638,1.4638,-0.3362
1818,,-0.5018,0.3982,-1.4018
1817,,-0.0125,0.8875,-0.9125
1816,,-0.0093,0.8907,-0.9093
1815,,-0.2945,0.6055,-1.1945
1814,,0.1793,1.0793,-0.7207
1813,,-0.001,0.899,-0.901
1812,,0.7759,1.6759,-0.1241
1811,,0.2821,1.1821,-0.6179
1810,,-0.2683,0.6317,-1.1683
1809,,-0.4237,0.4763,-1.3237
1808,,-0.7478,0.1522,-1.6478
1807,,-0.4208,0.4792,-1.3208
1806,,0.2647,1.1647,-0.6353
1805,,0.4548,1.3548,-0.4452
1804,,-0.0841,0.8159,-0.9841
1803,,0.3253,1.2253,-0.5747
1802,,0.0071,0.9071,-0.8929
1801,,0.219,1.119,-0.681
1800,,-0.2339,0.6661,-1.1339
