depth_m,age_gasBP,CH4
108.1418,327.9766,691.6552
108.14246,328.0049,689.37162
108.14312,328.0332,691.90079
108.14378,328.0614,694.01292
108.14443,328.0897,693.46177
108.14509,328.118,693.08526
108.14575,328.1463,691.60042
108.14641,328.1746,692.45085
108.14706,328.2029,690.45483
108.14772,328.2312,689.98242
108.14838,328.2595,690.14824
108.14904,328.2878,689.07004
108.1497,328.3161,685.20175
108.15035,328.3444,686.93365
108.15101,328.3726,688.44636
108.15167,328.4009,687.90018
108.15233,328.4292,686.07644
108.15298,328.4575,684.02307
108.15364,328.4858,685.77195
108.1543,328.5141,686.70798
108.15496,328.5424,686.9191
108.15561,328.5707,687.1228
108.15627,328.599,686.66853
108.15693,328.6273,684.86341
108.15759,328.6556,686.87255
108.15825,328.6838,688.97902
108.1589,328.7121,691.1519
108.15956,328.7404,687.45495
108.16022,328.7687,690.37616
108.16088,328.797,688.8273
108.16153,328.8253,688.54943
108.16219,328.8536,687.75443
108.16285,328.8819,688.13781
108.16351,328.9102,687.18717
108.16416,328.9385,685.57136
108.16482,328.9668,686.85879
108.16548,328.995,687.30043
108.16614,329.0233,687.43152
108.1668,329.0516,687.97012
108.16745,329.0799,687.75241
108.16811,329.1082,689.94588
108.16877,329.1365,690.75018
108.22073,331.3715,695.05791
108.22138,331.3998,693.95
108.22204,331.4281,696.27858
108.2227,331.4564,695.67765
108.22336,331.4847,697.00058
108.22401,331.5129,698.22367
108.22467,331.5412,694.73942
108.22533,331.5695,695.40211
108.22599,331.5978,695.47525
108.22665,331.6261,695.60869
108.2273,331.6544,695.66843
108.22796,331.6827,697.43916
108.22862,331.711,697.53073
108.22928,331.7393,697.12053
108.22993,331.7676,696.01331
108.23059,331.7959,697.05675
108.23125,331.8241,699.12895
108.23191,331.8524,697.97774
108.23256,331.8807,695.86256
108.23322,331.909,693.93425
108.23388,331.9373,694.43302
108.23454,331.9656,692.74699
108.2352,331.9939,693.07262
108.23585,332.0222,693.23784
108.23651,332.0505,690.84358
108.23717,332.0788,694.19683
108.23783,332.1071,691.58006
108.23848,332.1353,692.49975
108.23914,332.1636,690.40389
108.2398,332.1919,691.37557
108.24046,332.2202,691.479
108.24111,332.2485,691.70001
108.24177,332.2768,692.17949
108.24243,332.3051,694.05827
108.24309,332.3334,693.72257
108.24375,332.3617,691.2487
108.24506,332.4183,690.93706
108.24572,332.4465,692.12671
108.24638,332.4748,693.03902
108.24703,332.5031,691.84137
108.24769,332.5314,691.49468
108.24835,332.5597,690.83125
108.24901,332.588,691.35007
108.24966,332.6163,692.60031
108.25032,332.6446,690.64833
108.25098,332.6729,691.7766
108.25164,332.7012,692.00373
108.2523,332.7295,693.46318
108.25295,332.7577,692.20734
108.25361,332.786,691.56691
108.25427,332.8143,691.05222
108.25493,332.8426,691.70363
108.25558,332.8709,690.34241
108.25624,332.8992,690.80696
108.2569,332.9275,692.83861
108.25756,332.9558,690.69301
108.25821,332.9841,689.46664
108.25887,333.0124,690.83933
108.25953,333.0407,690.44818
108.26019,333.0689,688.8389
108.26085,333.0972,691.99578
108.2615,333.1255,690.58371
108.26216,333.1538,689.87075
108.26282,333.1821,692.69733
108.26348,333.2104,689.79046
108.26413,333.2387,690.38984
108.26479,333.267,691.13797
108.26545,333.2953,691.3881
108.26611,333.3236,691.76794
108.26676,333.3519,690.88864
108.26742,333.3801,690.17264
108.26808,333.4084,690.44591
108.26874,333.4367,691.50924
108.2694,333.465,690.47407
108.27005,333.4933,694.96002
108.27071,333.5216,690.44307
108.27137,333.5499,691.94395
108.27203,333.5782,691.75319
108.27268,333.6065,691.97533
108.27334,333.6348,691.25872
108.274,333.6631,690.77923
108.27466,333.6913,687.38949
108.27531,333.7196,689.1028
108.27597,333.7479,689.6064
108.27663,333.7762,689.62249
108.27729,333.8045,689.5353
108.27795,333.8328,688.46002
108.2786,333.8611,689.34468
108.27926,333.8894,689.18976
108.27992,333.9177,690.90662
108.28058,333.946,689.43688
108.28123,333.9743,687.63148
108.28189,334.0025,688.52332
108.28255,334.0308,688.74528
108.28321,334.0591,688.7321
108.28386,334.0874,688.62487
108.28452,334.1157,690.79896
108.28518,334.144,692.81175
108.28584,334.1723,691.44359
108.2865,334.2006,692.28286
108.28715,334.2289,694.90989
108.28781,334.2572,693.5323
108.28847,334.2855,690.91699
108.28913,334.3137,691.83474
108.28978,334.342,690.74565
108.29044,334.3703,691.30154
108.2911,334.3986,690.62387
108.29176,334.4269,691.31576
108.29241,334.4552,689.74788
108.29307,334.4835,689.11871
108.29373,334.5118,690.70428
108.29439,334.5401,687.05297
108.29505,334.5684,686.73003
108.2957,334.5967,687.26036
108.29636,334.6249,689.48025
108.29702,334.6532,689.7411
108.29768,334.6815,687.63885
108.29833,334.7098,690.27931
108.29899,334.7381,690.2698
108.29965,334.7664,688.97285
108.30031,334.7947,689.36682
108.30096,334.823,688.77052
108.30162,334.8513,687.14235
108.30228,334.8796,686.89414
108.30294,334.9079,689.26266
108.30359,334.9361,690.00914
108.30425,334.9644,690.58186
108.30491,334.9927,689.35181
108.30557,335.021,689.73169
108.30623,335.0493,688.37684
108.30688,335.0776,690.93262
108.30754,335.1059,686.05731
108.3082,335.1342,686.94195
108.30886,335.1625,690.84444
108.30951,335.1908,689.99934
108.31017,335.2191,687.78266
108.31083,335.2474,688.93453
108.31149,335.2756,688.29955
108.31214,335.3039,687.06963
108.3128,335.3322,689.95796
108.31346,335.3605,689.27304
108.31412,335.3888,688.99241
108.31478,335.4171,690.79267
108.31543,335.4454,691.23496
108.31609,335.4737,692.13316
108.31675,335.502,689.76357
108.31741,335.5303,688.90742
108.31806,335.5586,687.71852
108.31872,335.5868,689.17404
108.31938,335.6151,687.1298
108.32004,335.6434,686.34405
108.32069,335.6717,689.22994
108.32135,335.7,687.77471
108.32201,335.7283,687.80256
108.32267,335.7566,685.55352
108.32333,335.7849,687.37215
108.32398,335.8132,688.61207
108.32464,335.8415,687.26409
108.3253,335.8698,686.97835
108.32596,335.898,690.01305
108.32661,335.9263,686.54519
108.32727,335.9546,687.2322
108.32793,335.9829,689.90446
108.32859,336.0112,688.99439
108.32924,336.0395,688.00447
